% Data classified in a strict linear manner

@RELATION StrictClustered

@ATTRIBUTE xtst NUMERIC
@ATTRIBUTE ytsr NUMERIC
@ATTRIBUTE segment {HI,LO}

@DATA
4761,1143,LO
7155,1741,LO
8052,1986,LO
3090,772,LO
7648,1936,LO
1313,337,LO
4956,1288,LO
5760,1515,LO
881,235,LO
1616,436,LO
182,50,LO
3792,1048,LO
2404,672,LO
2426,686,LO
4348,1244,LO
2037,590,LO
825,242,LO
231,68,LO
8801,2635,LO
9355,6081,HI
2940,1912,HI
5088,3326,HI
8136,5346,HI
1360,898,HI
1167,775,HI
8025,5355,HI
8667,5813,HI
7026,4737,HI
8180,5542,HI
5129,3493,HI
2176,1489,HI
8305,5712,HI
1886,1303,HI
3295,2289,HI
5275,3682,HI
6989,4902,HI
9073,6394,HI
2661,1884,HI
2151,1531,HI
4295,3071,HI
8792,6316,HI
5378,3882,HI
6713,4868,HI
3379,811,LO
6562,1597,LO
9681,2387,LO
5207,1301,LO
2354,596,LO
4196,1076,LO
575,149,LO
6858,1804,LO
8785,2340,LO
2801,755,LO
5154,1407,LO
1,0,LO
1263,353,LO
593,168,LO
834,239,LO
6119,1771,LO
9720,2846,LO
2996,887,LO
3040,910,LO
5543,3603,HI
5923,3852,HI
4434,2899,HI
4133,2716,HI
7970,5265,HI
6783,4504,HI
2425,1618,HI
2265,1519,HI
4050,2730,HI
5310,3598,HI
2015,1372,HI
8018,5487,HI
3646,2508,HI
7240,5004,HI
3492,2425,HI
7549,5269,HI
1255,880,HI
1792,1263,HI
5295,3750,HI
4820,3430,HI
1966,1406,HI
9186,6599,HI
5125,3699,HI
5498,3987,HI
9829,2359,LO
8582,2088,LO
2319,572,LO
2251,563,LO
2490,630,LO
3928,1008,LO
4543,1180,LO
5010,1318,LO
8606,2293,LO
7466,2014,LO
7313,1996,LO
7794,2153,LO
5098,1425,LO
2465,697,LO
9728,2784,LO
2475,717,LO
5975,1749,LO
1194,354,LO
1483,444,LO
7669,4985,HI
747,486,HI
4004,2618,HI
174,114,HI
2293,1515,HI
3500,2324,HI
2901,1936,HI
4871,3267,HI
2556,1723,HI
4958,3359,HI
3570,2431,HI
1057,723,HI
6632,4561,HI
5593,3866,HI
4677,3248,HI
9481,6617,HI
5967,4185,HI
7726,5445,HI
1759,1246,HI
9802,6975,HI
7238,5175,HI
6095,4378,HI
3548,2561,HI
3612,2619,HI
470,113,LO
4706,1145,LO
4819,1188,LO
6620,1654,LO
5735,1452,LO
664,170,LO
2862,744,LO
7468,1965,LO
5722,1524,LO
1904,514,LO
1454,397,LO
4921,1360,LO
8209,2295,LO
5715,1617,LO
6280,1797,LO
1020,295,LO
277,81,LO
4753,1407,LO
776,232,LO
1925,1251,HI
2319,1508,HI
3152,2061,HI
844,555,HI
9397,6207,HI
3716,2467,HI
6411,4278,HI
7457,5002,HI
9407,6342,HI
4018,2722,HI
2008,1367,HI
1530,1047,HI
8895,6117,HI
8416,5817,HI
935,649,HI
2573,1796,HI
7614,5340,HI
8907,6277,HI
3506,2483,HI
8915,6343,HI
6712,4799,HI
5737,4121,HI
8895,6420,HI
8424,6109,HI
2230,535,LO
4416,1074,LO
3787,934,LO
9535,2383,LO
4222,1069,LO
1423,365,LO
8523,2214,LO
2416,636,LO
7552,2012,LO
6854,1849,LO
290,79,LO
7931,2191,LO
2891,808,LO
3719,1052,LO
4149,1187,LO
2853,826,LO
4855,1422,LO
9871,2923,LO
1543,462,LO
5939,3860,HI
1582,1029,HI
3600,2353,HI
3686,2422,HI
5086,3360,HI
9764,6483,HI
218,145,HI
2258,1515,HI
7624,5140,HI
7279,4932,HI
8164,5559,HI
8459,5789,HI
1559,1072,HI
8280,5723,HI
388,269,HI
1073,749,HI
8174,5733,HI
2055,1448,HI
9051,6409,HI
8788,6253,HI
1791,1280,HI
8020,5761,HI
8623,6224,HI
1256,911,HI
8292,1990,LO
8712,2120,LO
6313,1557,LO
7965,1990,LO
5165,1308,LO
2583,663,LO
9112,2367,LO
3473,914,LO
7295,1943,LO
1701,459,LO
6101,1666,LO
5414,1496,LO
7019,1963,LO
7932,2244,LO
7856,2248,LO
6552,1897,LO
3843,1125,LO
1335,395,LO
8485,2540,LO
4270,2776,HI
1694,1102,HI
851,556,HI
8925,5865,HI
3264,2156,HI
3114,2068,HI
3770,2516,HI
9098,6102,HI
3624,2443,HI
1163,788,HI
9564,6513,HI
8213,5620,HI
2621,1803,HI
9028,6240,HI
1155,802,HI
6891,4810,HI
3835,2690,HI
4839,3410,HI
5392,3818,HI
4023,2863,HI
1448,1035,HI
168,121,HI
2336,1686,HI
711,516,HI
8359,2006,LO
7357,1790,LO
4487,1106,LO
5410,1352,LO
6690,1694,LO
109,28,LO
7911,2055,LO
7775,2046,LO
8298,2211,LO
7514,2027,LO
7990,2181,LO
2766,764,LO
9602,2685,LO
4716,1334,LO
1943,556,LO
996,288,LO
4391,1286,LO
8665,2566,LO
3398,1017,LO
1872,1217,HI
2655,1727,HI
2522,1649,HI
6895,4531,HI
8337,5507,HI
796,528,HI
7632,5093,HI
3583,2403,HI
6024,4061,HI
1965,1331,HI
8918,6073,HI
8593,5881,HI
753,518,HI
4741,3277,HI
3511,2439,HI
6021,4202,HI
7288,5111,HI
6283,4428,HI
4071,2883,HI
5703,4058,HI
3082,2203,HI
